time,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
391.380000,-0.304304,0.932197,9.750790
391.415000,-0.304304,0.932196,9.750792
391.445000,-0.304308,0.932182,9.750799
391.480000,-0.304305,0.932196,9.750795
391.510000,-0.304305,0.932196,9.750796
391.545000,-0.304306,0.932195,9.750798
391.580000,-0.304306,0.932195,9.750799
391.610000,-0.304303,0.932210,9.750794
391.645000,-0.304307,0.932194,9.750801
391.675000,-0.304307,0.932193,9.750802
391.710000,-0.304308,0.932193,9.750803
391.745000,-0.304308,0.932192,9.750804
391.775000,-0.304308,0.932192,9.750805
391.810000,-0.304309,0.932191,9.750806
391.840000,-0.304309,0.932191,9.750806
391.875000,-0.304309,0.932190,9.750807
391.910000,-0.304310,0.932189,9.750808
391.940000,-0.304310,0.932189,9.750808
391.975000,-0.304310,0.932188,9.750809
