time,linear_x,angular_z
2.877924,0.000000,0.000000
2.907107,-0.500000,0.000000
2.955544,0.000000,-1.000000
2.997506,-0.500000,0.000000
3.833117,0.000000,1.000000
3.843146,0.000000,0.000000
3.990296,0.000000,1.000000
3.994365,0.000000,0.000000
4.148548,-0.500000,0.000000
4.153202,0.000000,0.000000
4.172681,-0.500000,0.000000
4.176095,0.000000,0.000000
4.190217,-0.500000,0.000000
4.194383,0.000000,0.000000
4.836707,0.500000,0.000000
4.849940,0.000000,0.000000
5.236571,-0.500000,0.000000
5.244197,0.000000,0.000000
5.504278,0.500000,0.000000
5.528009,0.000000,0.000000
5.716624,-0.500000,0.000000
5.726633,0.000000,0.000000
5.913760,-0.500000,0.000000
5.917430,0.000000,0.000000
5.972637,-0.500000,0.000000
5.984624,0.000000,0.000000
6.493601,-0.500000,0.000000
7.187074,0.000000,1.000000
7.197052,0.000000,1.000000
7.197632,0.000000,1.000000
7.213052,0.000000,-1.000000
7.223112,0.000000,-1.000000
7.223643,0.000000,-1.000000
7.224259,0.000000,-1.000000
7.224848,0.000000,-1.000000
7.225542,0.000000,-1.000000
7.226114,0.000000,-1.000000
7.226661,0.000000,-1.000000
7.227304,0.000000,-1.000000
7.227855,0.000000,-1.000000
7.228492,0.000000,-1.000000
7.229128,0.000000,-1.000000
7.229652,0.000000,-1.000000
7.230249,0.000000,-1.000000
7.230865,0.000000,-1.000000
7.231460,0.000000,-1.000000
7.232081,0.000000,-1.000000
7.232658,0.000000,-1.000000
7.233287,0.000000,-1.000000
7.233906,0.000000,-1.000000
7.234518,0.000000,-1.000000
7.235118,0.000000,-1.000000
7.235653,0.000000,-1.000000
7.236250,0.000000,-1.000000
7.236862,0.000000,-1.000000
7.237454,0.000000,-1.000000
7.238036,0.000000,-1.000000
7.238666,0.000000,-1.000000
7.239274,0.000000,-1.000000
7.239865,0.000000,-1.000000
7.240545,0.000000,-1.000000
7.241108,0.000000,-1.000000
7.241666,0.000000,-1.000000
7.242261,0.000000,-1.000000
7.242853,0.000000,-1.000000
7.243472,0.000000,-1.000000
7.244052,0.000000,-1.000000
7.244659,0.000000,-1.000000
7.245271,0.000000,-1.000000
7.245896,0.000000,-1.000000
7.246530,0.000000,-1.000000
7.247124,0.000000,-1.000000
7.247655,0.000000,-1.000000
7.248330,0.000000,-1.000000
7.248911,0.000000,-1.000000
7.249463,0.000000,-1.000000
7.250050,0.000000,-1.000000
7.250670,0.000000,-1.000000
7.251256,0.000000,-1.000000
7.251859,0.000000,-1.000000
7.252550,0.000000,-1.000000
7.253124,0.000000,-1.000000
7.253640,0.000000,-1.000000
7.254302,0.000000,-1.000000
7.254923,0.000000,-1.000000
7.255523,0.000000,-1.000000
7.256141,0.000000,-1.000000
7.256654,0.000000,-1.000000
7.257256,0.000000,-1.000000
7.257865,0.000000,-1.000000
7.258489,0.000000,-1.000000
7.259091,0.000000,-1.000000
7.259655,0.000000,-1.000000
7.260301,0.000000,-1.000000
7.260857,0.000000,-1.000000
7.261501,0.000000,-1.000000
7.262097,0.000000,-1.000000
7.262656,0.000000,-1.000000
7.263288,0.000000,-1.000000
7.268839,0.000000,-1.000000
7.277800,0.000000,-1.000000
7.297762,0.000000,0.000000
7.405662,0.500000,0.000000
7.414716,0.000000,1.000000
7.436038,0.000000,-1.000000
7.441327,0.500000,0.000000
7.460938,0.000000,-1.000000
7.470674,0.000000,-1.000000
7.480191,0.000000,-1.000000
7.491393,0.500000,0.000000
7.499412,0.500000,0.000000
7.509348,0.500000,0.000000
7.517393,0.500000,0.000000
7.523076,0.500000,0.000000
7.533045,0.500000,0.000000
7.533670,0.500000,0.000000
7.534240,0.500000,0.000000
7.534820,0.500000,0.000000
7.535461,0.500000,0.000000
7.536083,0.500000,0.000000
7.536670,0.500000,0.000000
7.537215,0.500000,0.000000
7.537811,0.500000,0.000000
7.538437,0.500000,0.000000
7.539006,0.500000,0.000000
7.539637,0.500000,0.000000
7.540244,0.500000,0.000000
7.540820,0.500000,0.000000
7.541488,0.500000,0.000000
7.542105,0.500000,0.000000
7.542683,0.500000,0.000000
7.543279,0.500000,0.000000
7.543818,0.500000,0.000000
7.544419,0.500000,0.000000
7.545003,0.500000,0.000000
7.545667,0.500000,0.000000
7.546206,0.500000,0.000000
7.546813,0.500000,0.000000
7.547482,0.500000,0.000000
7.557558,0.000000,-1.000000
7.568567,0.500000,-1.000000
7.608471,0.000000,1.000000
7.612761,0.000000,1.000000
7.736078,0.000000,-1.000000
7.744141,0.000000,0.000000
7.772052,0.000000,-1.000000
7.776509,0.000000,0.000000
7.790681,0.000000,-1.000000
7.805137,0.000000,0.000000
7.825227,0.000000,1.000000
7.831505,0.000000,0.000000
8.006331,0.000000,-1.000000
8.010276,0.000000,0.000000
8.025599,0.000000,-1.000000
8.033642,0.000000,-1.000000
